0,1,2,3,4,5
B02F309P9M,,宝山园,生活服务;丧葬设施;公墓,黄麻布社区洲石公路旁,"113.881743,22.6715"
B0GDL5HXM4,B02F38NJDF,固戍沙湾烈士陵园纪念碑,生活服务;丧葬设施;陵园|风景名胜;风景名胜相关;旅游景点,南昌路与延康路交叉口西200米,"113.841800,22.592884"
B02F30A9DW,,松山墓园,生活服务;丧葬设施;公墓,鹤蔸公路与104乡道交叉口南380米,"113.877892,22.828185"
B02F38ZURR,,洪田七烈士墓,生活服务;丧葬设施;陵园|风景名胜;风景名胜相关;旅游景点,沙井新区宝安中心区洪田路,"113.855128,22.69782"
B02F37VJ07,,鹰山墓园,生活服务;丧葬设施;陵园,S31龙大高速,"113.906765,22.816661"
B0FFG78MC5,,合坳背墓园,生活服务;丧葬设施;公墓,[],"113.914925,22.598589"
B0HGLSR0Q1,,聚仙居墓园(白石墓园),生活服务;丧葬设施;公墓,深圳祁生客栈北侧160米,"113.932421,22.595064"
B02F37VA88,,大王墓园,生活服务;丧葬设施;公墓,沙井镇洪田村,"113.872254,22.704136"
B02F37V8UY,,七沥墓园,生活服务;丧葬设施;公墓,[],"113.865928,22.696412"
B02F38IYP9,,怀恩园,生活服务;丧葬设施;丧葬设施,怀恩路,"113.946265,22.713931"
B02F38UG49,,钻石山墓园,生活服务;丧葬设施;丧葬设施,石岩消防中队后面,"113.915309,22.700084"
B0FFGWUJLE,B0FFF4D7IM,清福园,生活服务;丧葬设施;陵园,铁仔路铁仔山公园东南侧约50米,"113.867069,22.585805"
B030105I09,,黄江梅塘烈士公园,生活服务;丧葬设施;陵园,元岗一街与公常路交叉口西北80米,"113.978365,22.83059"
B02F38IYNZ,,报恩福地墓园,生活服务;丧葬设施;公墓,沙河西路4691号,"113.93502,22.594941"
B03018MW2S,,沙头五点梅公墓,生活服务;丧葬设施;公墓,长安镇沈海高速公路五点梅水库附近,"113.766202,22.805487"
B03017UOPG,,龙坑墓园,生活服务;丧葬设施;公墓,长安镇长青北路锦厦农民公寓后门,"113.801879,22.833872"
B0FFKGWBPP,,乌沙公墓,生活服务;丧葬设施;公墓,莲湖路与上新路交叉口北40米,"113.774169,22.806938"
B03018MYYN,,怀德花灯盏公墓,生活服务;丧葬设施;公墓,虎门镇莞佛高速公路花灯盏水库西150米,"113.773712,22.837599"
B0FFI8M58A,,宋蔡氏墓园咨询处,生活服务;丧葬设施;公墓,大井街与教育街交叉口南50米,"113.771353,22.789401"
B03017WBSO,,锦厦公墓,生活服务;丧葬设施;公墓,长安镇长青北路,"113.800807,22.832333"
