0,1,2,3,4,5
B0FFIIUI51,,上山门社区怡乐公园,风景名胜;公园广场;公园,上山门七巷与上山门路交叉口东50米,"113.856388,22.774752"
B0FFG01YCA,,沁园,风景名胜;公园广场;公园,宝民一路与湖滨路交叉口北50米,"113.910146,22.554185"
B0FFFTU36W,,九祥岭社区公园,风景名胜;公园广场;公园,学苑大道(西段)西丽小学东南150米,"113.95967,22.58446"
B0FFH0YULF,,塘下涌牛黄山社区公园,风景名胜;公园广场;公园,广田路与致和路交叉口东南150米,"113.848574,22.802444"
B030105GRV,,长安公园,风景名胜;公园广场;公园,长安镇德政中路212号,"113.804769,22.816414"
B02F37V992,,新桥公园,风景名胜;公园广场;公园,北环路115附近,"113.839028,22.734564"
B0FFFQZJ62,,黄埔社区洪田公园,风景名胜;公园广场;公园,洪田路168-5号附近,"113.855341,22.709206"
B0FFHK15KM,,共和公园,风景名胜;公园广场;公园,福和路西四巷5号附近,"113.802137,22.756212"
B0FFG1YW8R,,田心公园,风景名胜;公园广场;公园,南门四街与蝴蝶一路交叉口东150米,"113.970016,22.841541"
B0FFIYB81S,,乌石岩公园,风景名胜;公园广场;公园,墟背老街96号,"113.932572,22.680284"
B02F37WK6E,,凤凰社区公园,风景名胜;公园广场;公园,凤凰山大道68号附近,"113.843963,22.686001"
B02F37U53R,,沙浦社区公园,风景名胜;公园广场;公园,松岗镇沙浦二路117号,"113.829133,22.780723"
B02F37VB94,,沙井四村公园,风景名胜;公园广场;公园,北帝堂二路与沙井大街交汇处西50米,"113.807662,22.744619"
B0FFJ4UM4C,,壆岗荔枝公园,风景名胜;公园广场;公园,教育路6号坣岗荔枝公园附近,"113.820043,22.733541"
B02F38IOCX,,望牛亭公园,风景名胜;公园广场;公园,白石夏政丰北路,"113.816334,22.673616"
B02F37VPCW,,宝安公园,风景名胜;公园广场;公园,公园路,"113.902671,22.58621"
B0FFGTOW7B,,塘下涌对面山社区公园,风景名胜;公园广场;公园,水泉路与致和路交叉路口往南约120米,"113.849375,22.799529"
B0FFGZB3O2,,西乡企龙山体育公园,风景名胜;公园广场;公园,水库路附近,"113.889168,22.597959"
B0FFG9KGTS,,前海石公园,风景名胜;公园广场;公园,南头街道前湾一路西150米,"113.890178,22.526982"
B0FFG7LLXC,,宝安西湾红树林公园,风景名胜;公园广场;公园,西乡街道金湾大道,"113.833999,22.593516"
B0FFFRDS71,,深圳湾公园,风景名胜;公园广场;公园,滨海大道(近望海路),"113.972602,22.518968"
