0,1,2,3,4,5
B02F37V7IB,,深圳野生动物园,风景名胜;公园广场;动物园,西丽湖路4065号(西丽湖东侧),"113.972146,22.596039"
B02F37VPCW,,宝安公园,风景名胜;公园广场;公园,公园路,"113.902671,22.58621"
B0FFFRDS71,,深圳湾公园,风景名胜;公园广场;公园,滨海大道(近望海路),"113.972602,22.518968"
B0FFG7LLXC,,宝安西湾红树林公园,风景名胜;公园广场;公园,西乡街道金湾大道,"113.833999,22.593516"
B02F30242A,,中山公园,风景名胜;公园广场;公园,南山大道3109号(近汇泉广场),"113.918973,22.547835"
B02F306AHS,,公明广场,风景名胜;公园广场;城市广场,公明街道松白公路(近公明汽车站),"113.895342,22.777549"
B02F37VIOL,,海滨公园,风景名胜;公园广场;公园,固戍村,"113.845593,22.587506"
B02F37V9LL,,万福广场,风景名胜;公园广场;城市广场,福永镇福永大道,"113.824005,22.66996"
B02F37VQAF,,长圳公园,风景名胜;公园广场;公园,长圳路36号对面,"113.919926,22.717453"
B02F30ABLI,,下村公园,风景名胜;公园广场;公园,昌宏百货西侧,"113.884769,22.791281"
B02F37V9FD,,凤凰广场,风景名胜;公园广场;城市广场,福永街道凤凰山大道,"113.835921,22.688319"
B02F37WRRR,,平峦山公园,风景名胜;公园广场;公园,前进二路与宝田三路交叉口(桃源居),"113.876462,22.608322"
B02F309P8T,,宝民花园,风景名胜;公园广场;公园|商务住宅;住宅区;住宅小区,[],"113.907546,22.556696"
B030105GRV,,长安公园,风景名胜;公园广场;公园,长安镇德政中路212号,"113.804769,22.816414"
B02F3022D6,,荔香公园,风景名胜;公园广场;公园,南光路145-8对面,"113.929473,22.536629"
B02F309XH2,,后山花园,风景名胜;公园广场;公园,洲石路739号,"113.870627,22.630659"
B02F37VP61,,灵芝公园,风景名胜;公园广场;公园,前进一路80号(灵芝地铁站B2口步行470米),"113.907567,22.569468"
B02F37VP1J,,西乡公园,风景名胜;公园广场;公园,富成路160号,"113.881102,22.577142"
B02F37WDT7,,麒麟山公园,风景名胜;公园广场;公园,松岗麒麟山,"113.84855,22.784013"
B02F37VN19,,海华公园,风景名胜;公园广场;公园,川安路30号(碧涛阁斜对面),"113.887499,22.564452"
B02F30ABGS,,西田公园,风景名胜;公园广场;公园,西田村西田路,"113.902469,22.802056"
B02F301A51,,红花山公园,风景名胜;公园广场;公园,振明路88号,"113.901239,22.780791"
B02F38JF3I,,花果山公园,风景名胜;公园广场;公园,107国道松岗街道花果山居委会侧(松岗医院对面),"113.84337,22.772637"
B02F37VB94,,沙井四村公园,风景名胜;公园广场;公园,北帝堂二路与沙井大街交汇处西50米,"113.807662,22.744619"
B02F302E7D,,新安公园,风景名胜;公园广场;公园,前进一路,"113.911801,22.563413"
B02F38IYNI,,南昌公园,风景名胜;公园广场;公园,南昌路,"113.841143,22.596247"
B02F37V8YZ,,流塘公园,风景名胜;公园广场;公园,前进二路正集源大厦旁边,"113.891812,22.582953"
B02F37VNCT,,松岗文化广场,风景名胜;公园广场;城市广场,107国道(松岗街道办对面),"113.848914,22.763539"
B02F38IOCX,,望牛亭公园,风景名胜;公园广场;公园,白石夏政丰北路,"113.816334,22.673616"
B02F37VJD1,,西门公园,风景名胜;公园广场;公园,怀德大村一巷,"113.815669,22.666906"
B02F37V8OZ,,新桥中心公园,风景名胜;公园广场;公园,新沙路164号,"113.831412,22.729296"
B02F37WDLF,,燕岭公园,风景名胜;公园广场;公园,红湖路92斜对面,"113.862152,22.808639"
B02F37VQOC,,大王山公园,风景名胜;公园广场;公园,沙井镇沙井路,"113.808401,22.713722"
B02F37W6H4,,长青园(装修中),风景名胜;公园广场;公园,南山大道2070号(桃园地铁站D口步行80米),"113.925446,22.531104"
B02F38IGU3,,大沙河公园,风景名胜;公园广场;公园,北环大道8228号,"113.961327,22.556822"
B02F37VJSA,,阳台山森林公园,风景名胜;公园广场;公园,石岩街道龙腾路龙眼山村,"113.965108,22.65147"
B02F37VM4J,,石鼓山公园,风景名胜;公园广场;公园,石鼓路石景湾花园附近,"113.950471,22.578345"
B02F38J5SY,,铁仔山公园,风景名胜;公园广场;公园,西城工业城内,"113.86359,22.592355"
B02F30A7GN,,三月风,风景名胜;公园广场;城市广场,新湖街道楼村广场,"113.922054,22.782852"
B02F38JIF5,,翠湖公园,风景名胜;公园广场;公园,光明荔园路国土局光明所附近,"113.945935,22.766123"
B02F37WK6E,,凤凰社区公园,风景名胜;公园广场;公园,凤凰山大道68号附近,"113.843963,22.686001"
B02F37UJ42,B02F37V2O5,狂欢节广场,风景名胜;公园广场;城市广场,深南大道9037号世界之窗(世界之窗地铁站H2口旁),"113.973671,22.536283"
B02F37V992,,新桥公园,风景名胜;公园广场;公园,北环路115附近,"113.839028,22.734564"
B02F37VI8S,,罗租岭公园,风景名胜;公园广场;公园,石岩街道罗租社区如意路167号,"113.936559,22.675899"
B02F30AEB3,,燕川文化广场,风景名胜;公园广场;城市广场,松岗镇燕川村,"113.865195,22.798104"
B02F37VQ8D,,将石社区公园,风景名胜;公园广场;公园,马田街道石围社区后底坑路,"113.898625,22.755522"
B02F38JML4,,桥头社区公园,风景名胜;公园广场;公园,福永桥头村,"113.80715,22.687598"
B02F37VJ0E,,上村狮山公园,风景名胜;公园广场;公园,公明上村同福裕旭发科技园旁,"113.910701,22.794969"
B030105IH1,,金沙广场,风景名胜;公园广场;城市广场,长安镇振安中路,"113.76766,22.779136"
B02F309R88,,大顶岭山林公园,风景名胜;公园广场;公园,光明农场内,"113.967446,22.757015"
B02F309PK4,,碧头工业区文化广场,风景名胜;公园广场;城市广场,松岗碧头第三工业区,"113.80509,22.779168"
B02F37VJ4B,,朗下广场,风景名胜;公园广场;城市广场,松岗街道朗下村,"113.822793,22.774612"
B02F37VQ97,,玉律广场,风景名胜;公园广场;城市广场,玉塘街道玉律村五区六巷7号,"113.894076,22.716322"
B02F37VPSL,,塘下涌文化广场,风景名胜;公园广场;城市广场,燕罗街道塘下涌社区众福路45号,"113.843771,22.79707"
B02F37U4Y6,,世纪广场,风景名胜;公园广场;城市广场,广深公路311附近,"113.846755,22.77021"
B03017UOGA,,杨屋马鞍山生态公园,风景名胜;公园广场;公园,大兴路(杨屋村林场南侧),"113.852284,22.836359"
B0FFILHL3L,,沙浦围广场,风景名胜;公园广场;城市广场,松岗镇,"113.825601,22.776447"
B02F37V9ZQ,,新围文化广场,风景名胜;公园广场;城市广场,新高路18-9号(西丽地铁站F口步行410米),"113.951641,22.582632"
B02F38OXYO,B02F37UIGT,深圳大学-时光广场,风景名胜;公园广场;城市广场,深大西路深圳大学,"113.934227,22.532858"
