0,1,2,3,4,5
B02F37VJ2Y,,深圳(宝安)劳务工博物馆,科教文化服务;博物馆;博物馆,永和路6号,"113.932787,22.684725"
B02F37SHBK,B02F37U89L,南头古城博物馆(暂停营业),科教文化服务;博物馆;博物馆,南头较场2号,"113.919952,22.540836"
B02F38IGTV,,深圳南山法律文化博物馆,科教文化服务;博物馆;博物馆,玉泉路26号,"113.931474,22.546942"
B0FFF2TNUJ,,博物馆,科教文化服务;博物馆;博物馆,育才路附近,"113.943488,22.671233"
B0FFMGXX6X,,中国满绣博物馆,科教文化服务;博物馆;博物馆,同乐路与留仙村路交叉口东南80米,"113.931472,22.587500"
B0HAJ56J1A,B02F37UIGT,深圳大学博物馆,科教文化服务;博物馆;博物馆,深圳大学粤海校区立德路,"113.938257,22.534828"
B0FFLHS2F6,,琚相艺术馆,科教文化服务;博物馆;博物馆,荷兰花卉小镇D区30号,"113.910381,22.543328"
B0IG1AEAYL,,派对博物馆,科教文化服务;博物馆;博物馆,松白路与广深公路辅路交叉口东60米,"113.848183,22.768826"
B0GUZ7G0K7,,亿馨阳文化馆,科教文化服务;博物馆;博物馆,沙井街道步涌社区共和南路24-40号201,"113.807960,22.750381"
B0H1V5SF8C,,孙艳玲满绣艺术馆,科教文化服务;博物馆;博物馆,西丽街道1002号留仙文化园3栋1楼a,"113.931472,22.587500"
B0I6BHGHCI,,TAIGU MUSEUM,科教文化服务;博物馆;博物馆,凤恩路与华文路交叉口南120米,"113.956479,22.738543"
B0GK3MRLTU,,深圳市宝安区鼎坤陶瓷博物馆,科教文化服务;博物馆;博物馆,熙龙湾二期5-122B(新安地铁站E口步行370米),"113.892295,22.546517"
B0FFF4JMX1,,宝安区结缘奇石博物馆,购物服务;专卖店;珠宝首饰工艺品|科教文化服务;博物馆;博物馆,宝源路1077号德利商务3、6层,"113.863103,22.568732"
B0IB2L12OP,,深圳科技产业发展博物馆,科教文化服务;博物馆;博物馆,科智西路与科宏路交叉口北约100米,"113.943849,22.545066"
B0FFG4J8TJ,,深圳市潮汕民俗博物馆,科教文化服务;博物馆;博物馆,西乡大道280号文化潮汕博览园6层,"113.865691,22.575649"
B0FFG9KT05,B02F37VJ1K,珍稀奇文博馆,科教文化服务;博物馆;博物馆,新桥街道沙井中心路19号万景楼,"113.828681,22.725389"
B0FFG2VQCO,,青瓷博物馆,科教文化服务;博物馆;博物馆,新安二路46之1-2,"113.907980,22.557780"
B0FFH32LFA,,深圳市博物馆本土文化艺术研究中心,科教文化服务;科研机构;科研机构|科教文化服务;博物馆;博物馆,留仙大道109附近,"113.939855,22.582831"
B0FFJTA6BP,,惜物博物馆,科教文化服务;博物馆;博物馆,光明区光明新区公明街道红木小镇光明红木小镇A栋4楼,"113.910427,22.782052"
B0FFKC0CNZ,,非洲艺术博物馆,科教文化服务;博物馆;博物馆,福海街道富桥工业区一区14栋中非可持续发展中心,"113.804338,22.676053"
B0FFIXEWZP,B0FFJ2LUNI,世纪琥珀博物馆,科教文化服务;博物馆;博物馆,松瑞路1号三楼,"113.838691,22.755566"
B0FFHIG2D2,,合正书画馆,科教文化服务;博物馆;博物馆,裕安二路184号,"113.903390,22.574086"
B0G3SXXYJC,,深圳(宝安)劳务工博物馆,科教文化服务;博物馆;博物馆,石观路水田村新村西南侧约60米,"113.955385,22.686283"
B0FFLAGZH4,,博艺画廊,科教文化服务;博物馆;博物馆,石岩镇宝石东路406号,"113.942792,22.680341"
B0G3ZYOQ44,,勇诚得胜宝体国防军事科普基地,科教文化服务;博物馆;博物馆,宝安体育场1号门(宝体地铁站D口步行150米),"113.880638,22.558703"
B02F38NJC6,,沙井蠔民俗文化研究会,科教文化服务;博物馆;博物馆,沙井大街342号附近,"113.806831,22.740060"
B02F38U5JT,B02F30242A,深圳南山青铜博物馆,科教文化服务;博物馆;博物馆,和谐路与人民路交叉路口往西南约190米,"113.920901,22.548159"
