0,1,2,3,4,5
B02F37VFR6,,南山图书馆,科教文化服务;图书馆;图书馆,常兴路176号(桃园地铁站B口步行480米),"113.922459,22.534915"
B0FFGDYBJ8,,宝安区图书馆,科教文化服务;图书馆;图书馆,宝兴路1号(宝华地铁站D口步行250米),"113.882693,22.548704"
B02F37W4YV,B02F37UIGT,深圳大学-图书馆(南馆),科教文化服务;图书馆;图书馆,南山大道3688号,"113.935911,22.53153"
B02F37V7KB,,深圳市科技图书馆,科教文化服务;图书馆;图书馆,西丽镇丽水路深圳大学城西校区,"113.973127,22.590351"
B030105GTB,,长安图书馆,科教文化服务;图书馆;图书馆,长安镇东门西路1号,"113.803391,22.809967"
B02F37VJ5C,,合水口图书馆,科教文化服务;图书馆;图书馆,松白路5096号,"113.882315,22.781753"
B02F37VI9O,B0FFFDLZZO,南山图书馆百旺信分馆,科教文化服务;图书馆;图书馆,百旺信工业区综合楼附楼3层,"113.938138,22.630542"
B0H2N5F4BA,,花海书吧,购物服务;专卖店;书店|科教文化服务;图书馆;图书馆,圳美社区光姜路旁,"113.948813,22.786305"
B02F37VFX6,,长圳图书馆,科教文化服务;图书馆;图书馆,,"113.916316,22.718173"
B0FFFRZYCV,,美康百货二层图书专柜,科教文化服务;图书馆;图书馆,西丽镇平山村美康百货二层图书专柜,"113.965398,22.583583"
B0FFKRTIXC,,简阅书吧(宝安妇幼店),科教文化服务;图书馆;图书馆,玉律路宝安区妇幼保健院儿科候诊室,"113.876817,22.562213"
B0FFLL0USH,,平价书店,科教文化服务;图书馆;图书馆,粤海街道999号(深大南地铁站A1口步行420米),"113.933753,22.526309"
B0FFF9ZZ9Z,,万丰图书馆,科教文化服务;图书馆;图书馆,中心路65附近,"113.828533,22.725920"
B0FFGWUJQJ,,宝安社区阅读中心,科教文化服务;图书馆;图书馆,宝田一路152号,"113.861194,22.590344"
B0FFGMLBI3,,甲岸阅读中心,科教文化服务;图书馆;图书馆,甲岸村65,"113.904088,22.561539"
B0FFJ0E9ED,B02F38IY78,图书馆,科教文化服务;图书馆;图书馆,深圳硅谷大学城创业园A座2层219室,"113.965038,22.588483"
B0FFGIB66F,,南山图书馆专题咨询室,科教文化服务;图书馆;图书馆,常兴路176-6号(桃园地铁站B口步行460米),"113.922070,22.534962"
B0FFGIB664,,南山图书馆监控中心,科教文化服务;图书馆;图书馆,常兴路176-4号,"113.921917,22.534987"
B02F38LOIV,B02F37UIGT,深圳大学-图书馆北馆,科教文化服务;图书馆;图书馆,南海大道3688号深圳大学(粤海校区),"113.935431,22.533423"
B0FFGDH903,B02F38X2GS,固戍宝安社区阅读中心,科教文化服务;图书馆;图书馆,固戍综合楼3栋,"113.844823,22.591700"
B0FFFEXUO8,B02F37UIGT,深圳大学-汇典楼,科教文化服务;图书馆;图书馆,南海大道3688号深圳大学附近,"113.935400,22.533186"
B0FFIR8RJA,,光明区图书馆,科教文化服务;图书馆;图书馆,深圳光明居家服饰创意谷东北门旁,"113.861744,22.784925"
B0FFH0YXCE,B0FFHGOCBT,光明区文化馆D座会堂,科教文化服务;图书馆;图书馆,公明街道振明路9号,"113.902925,22.774135"
B0FFIQISIQ,,沙企社区图书馆,科教文化服务;图书馆;图书馆,富通路25号,"113.830095,22.715741"
B0FFJ4AWDW,,辛养社区阅读中心,科教文化服务;图书馆;图书馆,辛安路2号2层,"113.810931,22.738762"
B0FFFE8K23,,宝安图书馆沙井街道分馆,科教文化服务;图书馆;图书馆,沙井街道壆岗社区村前路100号2楼,"113.821701,22.731349"
B0G1G5N9TX,B02F30A7GN,图书馆,科教文化服务;图书馆;图书馆,新湖街道楼村社区三月风公园,"113.920806,22.783414"
B0FFK9HZ9T,,畅鸿图书馆,科教文化服务;图书馆;图书馆,沙井街道沙井镇共和向兴路恒明珠时尚广场14栋1区1楼,"113.801269,22.765927"
B0FFK76AN4,,和平图书馆,科教文化服务;图书馆;图书馆,和平社区党群服务中心205室,"113.792072,22.689962"
B0FFLHYRJZ,,南头街道图书馆,科教文化服务;图书馆;图书馆,常兴路常兴一街8号田夏社区工作站5楼,"113.920065,22.530096"
B0FFLMQKJN,,宝安图书馆,科教文化服务;图书馆;图书馆,沙头麒麟花园西北2门北140米,"113.807814,22.729026"
B0FFLPKNCD,,美嘉华,科教文化服务;图书馆;图书馆,福海街道深邦装饰设计工程有限公司尚佳美居,"113.809197,22.686179"
B0H6HCGOUD,,西田图书馆,科教文化服务;图书馆;图书馆,深圳市光明区公明街道西田路62号(允彩陈公祠旁),"113.900998,22.800442"
B0H6YD8RBA,,光明街道办事处图书馆,科教文化服务;图书馆;图书馆,光明街道光明大道与河心南路交汇处(新地中央广场3层),"113.942843,22.761123"
B0HDFAFMIZ,,角落自习室(付费共享自习室),科教文化服务;图书馆;图书馆,西乡街道下围园新村1巷7号万联大厦806,"113.848013,22.600964"
B0HKVU4P8Q,,人才图书馆,科教文化服务;图书馆;图书馆,沁园路东南侧,"113.971296,22.608342"
B02F38JP3D,,红星图书馆,科教文化服务;图书馆;图书馆,星湖路36号,"113.906233,22.706779"
B0H6L7EXXO,,南山书房·平原轩,科教文化服务;图书馆;图书馆,百度国际大厦西塔楼一楼,"113.942645,22.524164"
B0FFL2M6N0,,宝安图书馆新安中洲分馆,科教文化服务;图书馆;图书馆,公园路中洲华府2期9栋3层,"113.906577,22.572410"
B02F37SF97,,马山头图书馆,科教文化服务;图书馆;图书馆,马山头路22(合水口地铁站D口步行390米),"113.880663,22.778615"
B0GKBZFQEZ,,航城(簕杜鹃谷)阅读中心,科教文化服务;图书馆;图书馆,洲石路(先歌科技园北侧约150米),"113.860381,22.649291"
B0FFHSBS11,B0FFF4FY6W,光明新区图书馆(伯尼分馆),科教文化服务;图书馆;图书馆,金安路伯尼大厦,"113.887489,22.768729"
B0H2U5QUQH,,宝安图书馆松岗街道分馆,科教文化服务;图书馆;图书馆,宝安大道西侧与沙江路南侧交汇处文化艺术中心大楼B区,"113.827719,22.771175"
B0FFFCOC1K,,城市街区自助图书馆(空港八道),科教文化服务;图书馆;图书馆,领航三路GTC地面交通中心2层(机场地铁站C口旁),"113.814029,22.623589"
B0FFFFJH8T,,宝安社区阅读中心(水井路),科教文化服务;图书馆;图书馆,三围三巷10,"113.845767,22.614382"
B0FFGY4E5A,,宝安区图书馆(石岩街道分馆),科教文化服务;图书馆;图书馆,石岩街道育才路石岩文化艺术中心1层,"113.943844,22.671681"
B0FFFA1XQA,,宝安流动图书馆(西乡福中福分馆),科教文化服务;图书馆;图书馆,宝源路1026号附近,"113.872949,22.564021"
B0HA3U4DGD,,宝安图书馆(航城街道分馆),科教文化服务;图书馆;图书馆,天福华府B区B2栋商业及配套01层38号2楼,"113.838619,22.635235"
B0H17U6ZIB,,南山图书馆(南山街道分馆),科教文化服务;图书馆;图书馆,常兴路常兴一街8号田厦社区工作站5层,"113.920053,22.530100"
B0IGO7IKE4,,光明区图书馆(时间谷分馆),科教文化服务;图书馆;图书馆,芳园路与七号路交叉口西北60米,"113.887518,22.768727"
B02F38PHI4,,光明区图书馆(李松蓢社区服务点),科教文化服务;图书馆;图书馆,公明街道蒲园路2号(李松蓢党群服务中心1层),"113.888035,22.804051"
B0GKZC8YCJ,,宝安图书馆(福海街道图书馆),科教文化服务;图书馆;图书馆,福海街道桥和路300号,"113.794058,22.688522"
B0FFH15IYO,,自助图书馆(164阳光棕榈园服务点),科教文化服务;图书馆;图书馆,阳光棕榈园25-26栋之间,"113.913414,22.527773"
B0H6HCGWR5,,光明区图书馆(新湖街道分馆),科教文化服务;图书馆;图书馆,新美一村2栋(简阅书吧2层),"113.942513,22.799409"
B0H6H7GHAZ,B0FFHQ7D7O,光明区图书馆(玉律社区分馆),科教文化服务;图书馆;图书馆,玉塘街道玉律社区党群服务中心1层,"113.896939,22.716599"
B0FFHKG5NH,B0FFH0ZB90,宝安社区阅读中心(沙四高新园),科教文化服务;图书馆;图书馆,帝堂路沙四高新科技园内,"113.788443,22.745240"
B02F38MEIO,B0FFHGOCBT,光明区图书馆(红花山分馆),科教文化服务;图书馆;图书馆,公明街道振明路9号,"113.903516,22.773246"
B0FFG8H73P,,电子阅览室,科教文化服务;图书馆;图书馆,常兴路176号南山图书馆5楼,"113.922428,22.534944"
B02F38PH60,,宝安区图书馆(西乡分馆),科教文化服务;图书馆;图书馆,宝民二路110号,"113.883452,22.581358"
B0HBG7FC32,,自助图书馆(040华侨城服务点),科教文化服务;图书馆;图书馆,华侨城波托菲诺销售中心旁,"113.976728,22.547039"
B0FFIEKSZO,,光明区图书馆(下村社区服务点),科教文化服务;图书馆;图书馆,公明街道下村路32号(下村广场内1楼),"113.886352,22.787220"
