0,1,2,3,4,5
B02F306AHS,,公明广场,风景名胜;公园广场;城市广场,公明街道松白公路(近公明汽车站),"113.895342,22.777549"
B02F37V9LL,,万福广场,风景名胜;公园广场;城市广场,福永镇福永大道,"113.824005,22.66996"
B02F37V9FD,,凤凰广场,风景名胜;公园广场;城市广场,福永街道凤凰山大道,"113.835921,22.688319"
B02F38IU7R,B0FFFRDS71,深圳湾大运火炬塔广场,风景名胜;公园广场;城市广场,沙河西路附近,"113.954490,22.517699"
B02F37VNCT,,松岗文化广场,风景名胜;公园广场;城市广场,107国道(松岗街道办对面),"113.848914,22.763539"
B02F30A7GN,,三月风,风景名胜;公园广场;城市广场,新湖街道楼村广场,"113.922054,22.782852"
B02F37UJ42,B02F37V2O5,狂欢节广场,风景名胜;公园广场;城市广场,深南大道9037号世界之窗(世界之窗地铁站H2口旁),"113.973671,22.536283"
B02F30AEB3,,燕川文化广场,风景名胜;公园广场;城市广场,松岗镇燕川村,"113.865195,22.798104"
B030105IH1,,金沙广场,风景名胜;公园广场;城市广场,长安镇振安中路,"113.76766,22.779136"
B02F309PK4,,碧头工业区文化广场,风景名胜;公园广场;城市广场,松岗碧头第三工业区,"113.80509,22.779168"
B02F37VJ4B,,朗下广场,风景名胜;公园广场;城市广场,松岗街道朗下村,"113.822793,22.774612"
B02F37VQ97,,玉律广场,风景名胜;公园广场;城市广场,玉塘街道玉律村五区六巷7号,"113.894076,22.716322"
B02F37VPSL,,塘下涌文化广场,风景名胜;公园广场;城市广场,燕罗街道塘下涌社区众福路45号,"113.843771,22.79707"
B02F37U4Y6,,世纪广场,风景名胜;公园广场;城市广场,广深公路311附近,"113.846755,22.77021"
B0FFILHL3L,,沙浦围广场,风景名胜;公园广场;城市广场,松岗镇,"113.825601,22.776447"
B02F37V9ZQ,,新围文化广场,风景名胜;公园广场;城市广场,新高路18-9号(西丽地铁站F口步行410米),"113.951641,22.582632"
B02F38OXYO,B02F37UIGT,深圳大学-时光广场,风景名胜;公园广场;城市广场,深大西路深圳大学,"113.934227,22.532858"
B0FFFPOM0M,B02F37VP1J,文化广场,风景名胜;公园广场;城市广场,富成路160号西乡公园,"113.880898,22.577477"
B0FFG03RJQ,B02F37VQYO,大众广场,风景名胜;公园广场;城市广场,宝民二路与流塘路交汇处西100米,"113.883790,22.579618"
B0FFFTP9QP,B02F37WDT7,凤舞广场,风景名胜;公园广场;城市广场,燕罗街道洪桥头社区沙江东路以北麒麟山公园,"113.843721,22.778148"
B0FFG278I8,B02F38TG4Q,海上田园-吉庆广场,风景名胜;公园广场;城市广场,田园立交海上田园西门东侧约90米,"113.767695,22.722169"
B0G3AHFOXS,B0FFGH42RO,石岩环湖碧道,风景名胜;公园广场;城市广场,松白路西30米,"113.926407,22.678093"
B0FFKEA7VI,B02F30242A,中山公园-南门广场,风景名胜;公园广场;城市广场,前海路中山公园西1门东北侧约40米,"113.915396,22.544872"
B0FFGDHE27,,灵芝园社区文化广场,风景名胜;公园广场;城市广场,新安街道19区灵芝新村88栋旁,"113.909523,22.565590"
B02F37VQ9B,,田寮文化广场,风景名胜;公园广场;城市广场,玉塘街道田寮社区田明街9巷8号,"113.90089,22.727393"
B0FFFPJ0KJ,B02F37VGKZ,北帝古庙广场,风景名胜;公园广场;城市广场,真理街24号,"113.879458,22.575642"
B02F38NJ71,B02F37V2O5,巴黎春天购物广场,风景名胜;公园广场;城市广场,深南大道9037号世界之窗,"113.973337,22.533226"
B0FFICP0MA,B02F37V8OZ,新桥中心公园-健身广场,风景名胜;公园广场;城市广场,上星文明路与文明西路交叉口西南100米,"113.831879,22.728798"
B0FFJ9BHNB,,新桥市民广场,风景名胜;公园广场;城市广场,新桥街道万丰社区沙井中心路29-31号,"113.831019,22.723675"
B0FFL10HIM,,马山头文化广场,风景名胜;公园广场;城市广场,马山头路23号附近,"113.880333,22.777399"
B0FFLAGGJU,B02F38PFIS,时代中心广场,风景名胜;公园广场;城市广场,沙井中心路时代中心广场,"113.829834,22.729179"
B0FFK46RTW,,宝利豪庭广场,风景名胜;公园广场;城市广场,松岗沿河北路宝利豪庭宝宝龙欢乐园,"113.851124,22.763218"
B0FFL4QGWP,,石介头文化广场,风景名胜;公园广场;城市广场,光明区Y143(爱华小学对面),"113.961165,22.791565"
B0FFLIQTI9,B0FFHVOZ9J,立新湖公园-转角广场,风景名胜;公园广场;城市广场,环立新湖绿道立新湖公园北3门东侧约40米,"113.824264,22.690079"
B0FFKDMIS5,B0FFG7LLXC,扬帆广场,风景名胜;公园广场;城市广场,西乡街道金湾大道宝安西湾红树林公园,"113.836575,22.588083"
B0FFK3KIEQ,,上合社区文化广场,风景名胜;公园广场;城市广场,岭下花园十五巷7号附近,"113.900980,22.580301"
B0FFL7KASR,,下村啤酒广场,风景名胜;公园广场;城市广场|餐饮服务;中餐厅;中餐厅,马田路与合力五路交叉口东北80米,"113.881459,22.787861"
B02F37WELL,,三品文化广场,风景名胜;公园广场;城市广场,沙井街道民主大道,"113.786946,22.735461"
B0FFM0KD3V,B0FFF540NK,艺文广场,风景名胜;公园广场;城市广场,科发路万象天地西北侧(高新园地铁站A口步行260米),"113.955209,22.542379"
B0FFL80LYV,B0FFF9ZXWR,世民广场,风景名胜;公园广场;城市广场,沙井街道上星社区中星大厦格林豪泰沙井镇世民广场,"113.831543,22.727194"
B0FFLNLIO1,,光明社区文化广场,风景名胜;公园广场;城市广场,碧园路与华夏路交叉路口东北侧,"113.944293,22.753452"
