0,1,2,3,4,5
B0FFF4J4DT,,文化潮汕博览园,科教文化服务;展览馆;展览馆,西乡大道280号(西乡地铁站B口步行460米),"113.866038,22.575795"
B02F37VJA1,B02F38TG4Q,红树林博览园,科教文化服务;展览馆;展览馆,趣味植物园附近,"113.767362,22.726294"
B02F37WNJN,,深圳市南山博物馆,科教文化服务;展览馆;展览馆,南山大道2093号(桃园地铁站B口步行360米),"113.923887,22.535024"
B0FFFWJI3B,B0G04A7TZH,深圳三诺智慧生活创想馆,科教文化服务;展览馆;展览馆,滨海大道3012号三诺大厦3层,"113.936935,22.522583"
B0FFG6M4NG,B0FFF51YY0,百家滙艺术馆,科教文化服务;展览馆;展览馆,华龙路100-110号双龙花园12栋首层,"113.874779,22.582442"
B0FFG288MP,,子非鱼艺术馆,科教文化服务;展览馆;展览馆,滨海大道3001号深圳湾体育中心2楼l201,"113.948622,22.518520"
B0FFFWGTEM,,雅和斋艺术馆,科教文化服务;展览馆;展览馆,沙河东路118-2号,"113.964580,22.533821"
B0FFLJKV2U,,中亚城市形象展示馆,科教文化服务;展览馆;展览馆,岗头路18号,"113.821928,22.740784"
B02F38IZSW,,花卉博览馆,科教文化服务;展览馆;展览馆,深南大道8002号,"113.913493,22.544111"
B0FFGICD9P,,北头城市更新展示厅,科教文化服务;展览馆;展览馆,北头村西街35号,"113.914783,22.520561"
B0FFI1XEY9,B0FFF9ZL5T,雍轩棕榈泉艺术分馆,科教文化服务;展览馆;展览馆,白石路2288号棕榈泉国际俱乐部内,"113.962943,22.532691"
B0G1SCBKP3,B0FFFAAOX5,深圳智慧机场展厅,科教文化服务;展览馆;展览馆,福永街道深圳宝安国际机场深圳宝安国际机场T3航站楼深圳机场汽车站3F层,"113.814571,22.622126"
B0HD6ZA8QP,B0FFH6T7SX,不可思议减压馆-深圳站,科教文化服务;展览馆;展览馆,海岸城购物中心4层421-1,"113.934814,22.517487"
B0HGUDG3NW,,特区建发展厅,科教文化服务;展览馆;展览馆,S3(广深沿江高速),"113.765575,22.734586"
B0H0NHU8XA,,摩天轮画廊,科教文化服务;展览馆;展览馆,宝华路海府一号A栋603号,"113.885826,22.544442"
B0G3TSOAC1,,中正艺术馆,科教文化服务;展览馆;展览馆,高新南环路深圳湾科技生态园7栋下沉广场,"113.953272,22.530905"
B0GK0DAH1O,,深圳非遗展览馆,科教文化服务;展览馆;展览馆,沙井街道康泰四路6号,"113.795132,22.725965"
B0HD7RQFFP,,潮团博览馆,科教文化服务;展览馆;展览馆,时代方舟大厦2层,"113.858100,22.774656"
B0H1Y5WWGF,,深圳市天杨艺术馆,科教文化服务;展览馆;展览馆,悦和五街与新湖路交叉口西南140米,"113.860331,22.575714"
B0IB4Z9065,,科技融合展示中心,科教文化服务;展览馆;展览馆,高新南九道与粤兴五道交叉口西南60米,"113.941532,22.527898"
B02F38NJL4,B02F37V2O5,埃及纸草画物品展,科教文化服务;展览馆;展览馆,红树街附近,"113.972007,22.532784"
B0I675R98S,,赖先生艺馆,科教文化服务;展览馆;展览馆,莲美一路与莲美二路交叉口东北120米,"113.905125,22.798116"
B0FFI8KPFV,,中洲艺术廊,科教文化服务;展览馆;展览馆,创业二路与北一巷交叉口西50米,"113.905830,22.570776"
B0IG2H7GSN,,松岗非遗农具展示厅,科教文化服务;展览馆;展览馆,环城路与松园路交叉口东南20米,"113.840430,22.771272"
B0FFG9L781,B02F37UG11,新年酒店-会议厅,科教文化服务;展览馆;展览馆,南海大道3003号阳光华艺大厦2栋新年酒店,"113.928442,22.525020"
B0I6GUA1NJ,,广西乡村振兴产品展示馆,科教文化服务;展览馆;展览馆,马田街道根竹园社区芳园路1022,"113.875115,22.769774"
B0FFGAQRQT,B02F37V2O5,33艺空间,科教文化服务;展览馆;展览馆,深南大道9037-7-1,"113.972935,22.535650"
B0FFK012ER,B0FFITK5UM,深圳国际会展城市展厅,科教文化服务;展览馆;展览馆,宝安大道与福洲大道交汇处(福永地铁站D口步行380米),"113.808592,22.67461"
B0HK1UA6OF,B0FFJRSMKM,万象天地艺术计划·场,科教文化服务;展览馆;展览馆,深南大道9668号万象天地北区L4,"113.957092,22.542249"
B0GD5S3G1Y,,湾区新技术新产品展示中心,科教文化服务;展览馆;展览馆,碧海君庭1号楼(碧海湾地铁站E口步行360米),"113.853493,22.575539"
B0FFGDYRC4,B02F37V7U0,张铁成书画作品展览馆,科教文化服务;展览馆;展览馆,沙井路大王山广场,"113.806661,22.709631"
B0FFJ7YFYH,,光明区城市展示馆,科教文化服务;展览馆;展览馆,凤凰街道凤凰社区观光路2531号,"113.945966,22.738284"
B0FFFEA3PA,,凤凰艺展中心,科教文化服务;展览馆;展览馆,凤凰大道118号,"113.836035,22.68959"
B0FFK90U6I,,宝安区城市规划展览馆,科教文化服务;展览馆;展览馆,宝兴路1号(宝华地铁站D口步行220米),"113.882649,22.549219"
B0H6DA7BHC,,深圳国家现代农业科技展示中心,科教文化服务;展览馆;展览馆,光明街道迳口新村,"113.968236,22.763809"
B0HKBUWU9M,B02F37WQIA,万贤艺术交流中心,科教文化服务;展览馆;展览馆,西乡街道创客小街汇一城小区北门左侧,"113.864171,22.575448"
B0FFLID6RR,B0FFF540NK,华润置地城市展厅,科教文化服务;展览馆;室内展位|汽车销售;汽车销售;汽车销售,科发路19号华润城万象天地L1层(高新园地铁站A口旁),"113.954418,22.541214"
B0FFIXLLUR,B0HGO9WAL0,保利艺术空间(壹方城购物中心东区),科教文化服务;展览馆;展览馆,新湖路99号壹方城购物中心东区L1层,"113.888227,22.550965"
B02F38JGSR,,万丰原创文化作品展览馆,科教文化服务;展览馆;展览馆,中心路19号(万景楼),"113.828698,22.725240"
B0FFGJ2WEU,,叶家斌艺术馆,科教文化服务;美术馆;美术馆|科教文化服务;展览馆;展览馆,文山路与莞长路交叉路口往南约50米(涌头市场),"113.823999,22.802894"
B0GKNU7GNS,,茅洲河工业文明展示馆,科教文化服务;展览馆;展览馆,长安镇新民社区堤围路3号,"113.790702,22.755663"
B0FFFW9CF1,,全国少数民族(深圳)文化·商品交易展示中心,科教文化服务;展览馆;展览馆,宝安外贸工业区附近,"113.922665,22.653581"
B0FFIL3EWG,B0FFHGLY9Y,室内展位(深圳宝安国际机场T3航站楼P2停车场),科教文化服务;展览馆;室内展位,福永街道深圳宝安国际机场深圳宝安国际机场T3航站楼P2停车场4F层,"113.812568,22.624171"
B02F38NJJ7,,南山区群英民间武术文化展览馆(暂停营业),科教文化服务;展览馆;展览馆,桂庙路116-1,"113.911089,22.523526"
B0FFG68TSI,,八宝轩艺术馆,科教文化服务;展览馆;展览馆,沙埔头东十一巷9号,"113.804034,22.802527"
