0,1,2,3,4,5
B0FFFSWNGE,,新安消防中队安乐分队,政府机构及社会团体;公检法机构;消防机关,翻身路63号附近,"113.900574,22.554356"
B0FFH1YBPE,,南山消防,政府机构及社会团体;公检法机构;消防机关,海云路深圳市软件产业基地东侧约30米,"113.939770,22.519394"
B0FFLH3KIF,,沙井街道微型消防站,政府机构及社会团体;公检法机构;消防机关|生活服务;生活服务场所;生活服务场所,村前路与北帝路交叉口北20米,"113.822123,22.732740"
B0FFK6DJRE,,深圳市小型消防站,政府机构及社会团体;公检法机构;消防机关|生活服务;生活服务场所;生活服务场所,广东新安职业技术学院体育馆西南门西南60米,"113.967694,22.556773"
B0FFLD9ZW1,,圳美社区小型消防站,政府机构及社会团体;公检法机构;消防机关,圳美社区289号,"113.942940,22.789523"
B0FFL99DSL,,公明消防分队消防站,政府机构及社会团体;公检法机构;消防机关|政府机构及社会团体;政府机关;政府机关相关,公明广场南路公明广场(公明广场地铁站A口步行360米),"113.895254,22.776645"
B0FFKEFQVB,,新和消防分队,政府机构及社会团体;公检法机构;消防机关|公司企业;公司企业;公司企业,新和五区悦盛一路17-1号,"113.804091,22.665851"
B0HA1AF3HO,,碧头消防站,政府机构及社会团体;公检法机构;消防机关,宝安大道沙浦沙二工业区,"113.824128,22.791138"
B0FFM1IBFU,,消防站,政府机构及社会团体;公检法机构;消防机关,湖滨西路与听海大道交叉口西100米,"113.894983,22.541426"
B0FFLDBQ0S,,深圳消防下村加强分队,政府机构及社会团体;公检法机构;消防机关,马田路山风雅居西侧约70米,"113.882699,22.790251"
B0FFFY72WV,,大洋消防分队,政府机构及社会团体;公检法机构;消防机关,大洋路35附近,"113.820440,22.692384"
B0FFFQFF7E,,深圳市南山区南头消防救援站,政府机构及社会团体;公检法机构;消防机关,沙河东路附近,"113.966995,22.551381"
B0G3AHDFU8,,深圳消防玉律加强分队,政府机构及社会团体;公检法机构;消防机关,玉园东路玉律公园东北侧约30米,"113.896967,22.715870"
B0HUUHSB02,,文雅消防站,政府机构及社会团体;公检法机构;消防机关|生活服务;生活服务场所;生活服务场所,文汇花园西南1门旁,"113.894243,22.569770"
B0FFFTKS0N,,马山头专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,马山头路26号(合水口地铁站D口步行370米),"113.880453,22.778870"
B0FFFTS6WL,B0FFH15IVP,光明区第六专职消防队,政府机构及社会团体;公检法机构;消防机关,公明街道马山头村马山头第三工业区36栋,"113.882342,22.774345"
B0FFFTR0DM,,公明消防中队马田分队,政府机构及社会团体;公检法机构;消防机关,富利南路马山头第三工业区,"113.882318,22.774348"
B0G397Q6N4,,高新区社区消防服务站,政府机构及社会团体;公检法机构;消防机关,粤兴三道与高新南九道交叉口南60米,"113.944317,22.528859"
B0FFH0ZJFO,,大新专职消防队,政府机构及社会团体;公检法机构;消防机关,桃园路大新休闲广场(大新地铁站D口步行50米),"113.916219,22.532060"
B0FFLPGFKW,,新庄社区小型消防站,政府机构及社会团体;公检法机构;消防机关,光明区将工一路,"113.915311,22.766294"
B0FFKF4427,,松岗消防中队沙浦分队,政府机构及社会团体;公检法机构;消防机关,广进路与沙浦二路交叉口西北40米,"113.829583,22.784765"
B0FFKECHY8,,西乡街道微型消防站,政府机构及社会团体;公检法机构;消防机关,南昌第一新村一巷与兴裕路交叉口东南20米,"113.839482,22.597150"
B0FFHJJWOA,,西丽消防中队,政府机构及社会团体;公检法机构;消防机关,西丽石鼓路3001号(留仙洞地铁站B口步行440米),"113.947739,22.581209"
B0FFHD5ZO6,,龙井专职消防队,政府机构及社会团体;公检法机构;消防机关,龙井路16-2号附近(龙井地铁站B口步行120米),"113.974545,22.562939"
B0FFK6RMKC,,根竹园社区微型消防站,政府机构及社会团体;公检法机构;消防机关,马园路16号,"113.876457,22.773172"
B0FFIA8SMV,,华侨城消防中队,政府机构及社会团体;公检法机构;消防机关,香山西街206号,"113.966871,22.551648"
B0FFG917OO,,光明区田寮专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,警民路22号,"113.900950,22.729270"
B0HBR75RJ5,B02F38K569,建安社区微型消防站,政府机构及社会团体;公检法机构;消防机关|生活服务;生活服务场所;生活服务场所,7区甲岸村86栋,"113.903010,22.565468"
B0FFIQ10SA,,塘家消防站,政府机构及社会团体;公检法机构;消防机关,光侨路,"113.9464,22.730583"
B0HKYHVM7Q,,深圳市宝安区石岩消防救援站,政府机构及社会团体;公检法机构;消防机关,石岩街道石岩松白路旁,"113.917849,22.700993"
B0FFLJEPVV,,深圳消防,政府机构及社会团体;公检法机构;消防机关|购物服务;专卖店;专营店,马田街道光明区中国石化公明加油站东(松白路北),"113.873141,22.783281"
B0FFHO0ONN,,微型消防站,政府机构及社会团体;公检法机构;消防机关,上川路57-1号附近,"113.896156,22.575323"
B0FFHEYNQ9,,塘尾消防分队,政府机构及社会团体;公检法机构;消防机关,福永街道塘尾社区南玻大道77号塘尾八区十四巷8号,"113.806283,22.707148"
B0FFH0ZM2Q,,微型消防站,政府机构及社会团体;公检法机构;消防机关,安乐三街海滨中学(翻身地铁站B口步行240米),"113.895334,22.559528"
B0FFG8G0EW,,沙井消防中队万丰分队,政府机构及社会团体;公检法机构;消防机关,万丰村大朗山西路22-2号,"113.819402,22.711755"
B0FFKDNILK,,光明区森林消防大队二中队,政府机构及社会团体;公检法机构;消防机关,玉昌东路欢乐精品酒店(玉律店)东北侧,"113.902670,22.717604"
B0FFFTP9AE,,光明新区茨田埔专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,福康路20号,"113.874763,22.781490"
B0I6X7E83Z,,宝安区航城消防救援站,政府机构及社会团体;公检法机构;消防机关,机场南路辅路与宝安大道交叉口东北100米,"113.840447,22.617261"
B0I6X7CXH5,,航城消防救援站,政府机构及社会团体;公检法机构;消防机关,机场南路辅路与宝安大道交叉口东北100米,"113.840386,22.617279"
B0I6BHRG6D,,深圳消防,政府机构及社会团体;公检法机构;消防机关,晓霖路与光侨路交叉口西北140米,"113.945937,22.730678"
B0I6BDHR9B,,田寮社区小型消防站,政府机构及社会团体;公检法机构;消防机关,高强路与田辉一路交叉口西100米,"113.901737,22.722426"
B0HKFR1C7C,,石围小型消防站,政府机构及社会团体;公检法机构;消防机关,将石路150号,"113.895587,22.749088"
B0HKFCYGYV,,消防救援站新乐特勤站,政府机构及社会团体;公检法机构;消防机关,湖滨西路尽头,"113.895047,22.541378"
B0IG77RJ0Q,,盐田社区微型消防柜,政府机构及社会团体;公检法机构;消防机关,下三村小区西南1门旁,"113.859844,22.580054"
B0IBCC0N63,,松坪山消防救援站,政府机构及社会团体;公检法机构;消防机关,宝深路与科苑北路交叉口东南120米,"113.946507,22.561003"
B0HK1A4MZA,,新乐专职消防队,政府机构及社会团体;公检法机构;消防机关,湖滨西路尽头,"113.895016,22.541408"
B0HKRUS33Z,,丽新应急管理站,政府机构及社会团体;公检法机构;消防机关,南天路,"113.956123,22.587526"
B0HDL5X5HX,,潭头消防站,政府机构及社会团体;公检法机构;消防机关,芙蓉路1号,"113.866261,22.743803"
B0H1V7T4DI,,溪头消防站,政府机构及社会团体;公检法机构;消防机关,松岗街道溪头社区松环路(溪头地铁站C1口步行440米),"113.836321,22.772194"
B0HAFRYQ2S,,长流陂消防救援站,政府机构及社会团体;公检法机构;消防机关,至丰路与现状道路交叉口东南80米,"113.854369,22.716663"
B0HKJ53166,,将围社区小型消防站,政府机构及社会团体;公检法机构;消防机关,将石路与塘前路交叉口西南80米,"113.904198,22.755765"
B0G12ZJ9SQ,,径口消防分队,政府机构及社会团体;公检法机构;消防机关,光明街道迳口社区公园对面,"113.967036,22.763875"
B0FFKDX4WO,,深圳市宝安区河西专职消防队,政府机构及社会团体;公检法机构;消防机关,西乡大道38号,"113.881193,22.587543"
B0FFKBO3KD,,沙井街道步涌社区微型消防站,政府机构及社会团体;公检法机构;消防机关,步涌三路与南边路交叉口北20米,"113.813174,22.753862"
B0FFHODN4G,,深圳市南山区北头专职消防队,政府机构及社会团体;公检法机构;消防机关,北头村西街24号,"113.915105,22.521318"
B0FFIYOKT2,,光前村物业管理处义务消防队,政府机构及社会团体;公检法机构;消防机关,龙井路284号,"113.963479,22.562860"
B0FFMCWB0E,,上川消防中队(建设中),政府机构及社会团体;公检法机构;消防机关,新安街道隆昌路西面,"113.927389,22.577294"
B0FFMCOGJ5,,桥头消防站,政府机构及社会团体;公检法机构;消防机关,福海街道鹅山路,"113.797754,22.696184"
B0IG0HA2PV,,曙光社区2号应急管理站,政府机构及社会团体;公检法机构;消防机关,深圳市白沙物流有限公司西大门南60米,"113.953437,22.562484"
B0FFLJLSWS,,深圳消防红星分队,政府机构及社会团体;公检法机构;消防机关,玉星路星湖名居北侧约90米,"113.906211,22.708563"
B0FFLIU9M1,,消防控制指挥中心,政府机构及社会团体;公检法机构;消防机关,宝民二路宝安农贸批发市场,"113.876211,22.588486"
B0FFL82MX7,,南山消防,政府机构及社会团体;公检法机构;消防机关,丽康路奥德康家居东侧约180米,"113.970866,22.630383"
B0FFK2M5VV,,西乡社区微型消防站,政府机构及社会团体;公检法机构;消防机关,鸣乐街与鸣乐东街交叉口南40米,"113.875902,22.573130"
B0FFK19L3C,,长丰物业微型消防站,政府机构及社会团体;公检法机构;消防机关,洪浪北二路长丰工业园,"113.925121,22.580941"
B0FFKI7N3B,,迳口专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,178乡道南50米,"113.966946,22.763805"
B0FFIVPGQA,,福永消防中队,政府机构及社会团体;公检法机构;消防机关,福永立新路与福洲大道交汇处花园酒店旁,"113.815214,22.675817"
B0FFKH5DNK,,深圳消防下村分队,政府机构及社会团体;公检法机构;消防机关,光明区马田北路98号,"113.882889,22.790176"
B0FFLPKFJN,,深圳市宝安区西乡消防救援大队,政府机构及社会团体;公检法机构;消防机关,西乡街道银田路51号,"113.850236,22.571673"
B0FFKYL480,,宝安区森林消防大队直属二中队,政府机构及社会团体;公检法机构;消防机关,世峰科技园(黄麻布路南),"113.869121,22.656723"
B0FFHW3WXE,,深圳市光明区森林消防大队,政府机构及社会团体;公检法机构;消防机关,光明街道碧眼水库,"113.958233,22.748228"
B0FFIVPB62,,东坑专兼职消防队,政府机构及社会团体;公检法机构;消防机关,公明街道东坑社区东发路3号,"113.924136,22.751084"
B0FFMEX0CJ,B0FFH95K76,福海街道第三专职消防队,政府机构及社会团体;公检法机构;消防机关,和盛工业11栋2层,"113.797919,22.698985"
B0FFILHK2P,,光明区第九专职消防队,政府机构及社会团体;公检法机构;消防机关,公明街道玉塘街道田寮第五工业区13栋对面,"113.901678,22.722427"
B0FFIIT4WU,,西田专兼职消防队,政府机构及社会团体;公检法机构;消防机关,展业一路西田公园西南侧,"113.900597,22.800101"
B0FFIA8WDE,,宝安分局消防大队,政府机构及社会团体;公检法机构;消防机关,创业二路北二巷四号,"113.912036,22.577655"
B0FFHY6Z3D,,西乡固戍专职消防队,政府机构及社会团体;公检法机构;消防机关,固戍茶树村2号西乡固戍,"113.843873,22.590297"
B0FFLJC0YB,,公明社区东区微型消防站,政府机构及社会团体;公检法机构;消防机关,康德街与长春中路交叉口西120米,"113.893018,22.783668"
B0FFHO1KV5,,消防站,政府机构及社会团体;公检法机构;消防机关,广深公路万骏汇商务公寓,"113.856074,22.586413"
B0FFHLGE41,,深圳机场消防队,政府机构及社会团体;公检法机构;消防机关,领航六路,"113.809614,22.621338"
B0FFK80PLR,,松岗街道第七专职消防队,政府机构及社会团体;公检法机构;消防机关,大洋工业村9号,"113.864887,22.764930"
B0FFIVPGPR,,西乡街道凤凰岗社区微型消防站,政府机构及社会团体;公检法机构;消防机关,宝田一路152-8号附近,"113.880516,22.597964"
B0HKX7U89O,,深圳市宝安区森林消防大队,政府机构及社会团体;公检法机构;消防机关,燕罗街道鹤蔸山路,"113.873989,22.826068"
B0FFHG8CYG,,沙企社区安全消防办公室,政府机构及社会团体;公检法机构;消防机关,富通路25号附近,"113.830108,22.715832"
B0G1R95DM5,,沙井街道办事处专职消防队,政府机构及社会团体;公检法机构;消防机关,大田路与新和大道交叉口东北40米,"113.814439,22.756534"
B02F38K7N6,,合水口专(兼)职消防队,政府机构及社会团体;公检法机构;消防机关,松白路5096(合水口地铁站A口步行70米),"113.882452,22.781438"
B0FFIY12KV,,马田办事处马山头社区微型消防站,政府机构及社会团体;公检法机构;消防机关,马山头综合市场(马山头路东),"113.880683,22.779251"
B0FFM66S4U,,西丽街道留仙洞小型消防站,政府机构及社会团体;公检法机构;消防机关,同乐路与留仙村路交叉口东180米,"113.932776,22.587931"
B0FFLDMIRY,,深圳市南山区消防救援大队,政府机构及社会团体;公检法机构;消防机关,丽山路16-39号(西丽湖地铁站B口步行210米),"113.964705,22.592097"
B0FFK2XESW,,福永街道百万年微型消防站,政府机构及社会团体;公检法机构;消防机关,永丰二路123号附近,"113.834490,22.678790"
B0FFIIRTP3,,松岗街道第一专职消防队,政府机构及社会团体;公检法机构;消防机关,松安路爱岗楼西侧约140米,"113.814078,22.772026"
B0FFIA8WC5,,西乡流塘社区兼职消防队,政府机构及社会团体;公检法机构;消防机关,流塘社区榕树路68号,"113.887932,22.577423"
B0I6X7DJT5,,深圳市宝安区航城消防救援站,政府机构及社会团体;公检法机构;消防机关,宝安大道立交与机场南交界处,"113.840130,22.617262"
B0HRRZRLVF,,深圳市宝安区新罗专职消防队,政府机构及社会团体;公检法机构;消防机关,燕罗街道罗田社区罗田林场消防站101,"113.883345,22.820435"
B0H33X15A2,,深州市宝安区龙井专职消防队,政府机构及社会团体;公检法机构;消防机关,湖滨东路南山意境西北侧约60米,"113.913212,22.555739"
B0H0G7EJDQ,,深圳市宝安区福围专职消防队,政府机构及社会团体;公检法机构;消防机关,东福围西街与下十围路交叉口东南100米,"113.819049,22.654694"
B0H3P74SMO,,深圳市宝安区西乡消防救援站,政府机构及社会团体;公检法机构;消防机关,西乡街道银田路51号,"113.850089,22.571655"
B0HDC9L8QI,,深圳市宝安区上星专职消防队,政府机构及社会团体;公检法机构;消防机关,上星路华瑞阁西侧,"113.832829,22.725570"
