0,1,2,3,4,5
B02F37WENX,,三品美术馆,科教文化服务;美术馆;美术馆,沙井锦程路2068号三品园,"113.787152,22.736239"
B0FFFFG8RP,,福永群众文化艺术馆,科教文化服务;美术馆;美术馆,翠岗西路与怀德南路交叉路口东侧,"113.820800,22.664381"
B0FFFVC2T0,,和平美术馆,科教文化服务;美术馆;美术馆,同益新村西二巷10号,"113.792470,22.695751"
B0FFFA1YA6,,李瑞生软硬艺术创作室,科教文化服务;美术馆;美术馆,深圳大学3号艺栈4层,"113.930632,22.527568"
B02F37UIP4,,述古堂美术馆,科教文化服务;美术馆;美术馆,深南大道12038号东方新地B座1楼,"113.916798,22.540655"
B0FFGJPFTD,,坤腾文化艺术馆,科教文化服务;美术馆;美术馆,月亮湾大道3008号南山荷兰花卉小镇,"113.910171,22.544026"
B0HD3XSYHS,,裕源盛茶禅文化艺术馆,科教文化服务;美术馆;美术馆,寮丰路与井政路交叉口东北约100米,"113.836481,22.719864"
B0HUGAR28R,,天香艺术馆,科教文化服务;美术馆;美术馆,下围园新村九巷,"113.845967,22.596382"
B0HDZH0590,,葵田创意美术馆,科教文化服务;美术馆;美术馆,光明区,"113.892565,22.766903"
B0IBBSVQ1W,,彩虹艺术馆,科教文化服务;美术馆;美术馆,蚝乡路与岗头路交叉口西100米,"113.820526,22.736315"
B0H2N5EA6Z,B0G3VZCUGS,卓艺一画美术馆,科教文化服务;美术馆;美术馆,田寮路与田湾路交叉口西60米,"113.903833,22.726086"
B0IG9RDCNH,,交际花艺术馆,科教文化服务;美术馆;美术馆,宝安大道与松明大道交叉口东北120米,"113.832329,22.766355"
B0H1URZ41Y,,光明文化艺术中心美术馆,科教文化服务;美术馆;美术馆,光明街道创投路与观光路交叉口东北100米,"113.937683,22.746362"
B0IGMU660N,,吴广诗书画印艺术馆,科教文化服务;美术馆;美术馆,前进二路与新安四路交叉口西北80米,"113.893038,22.580738"
B0G3TUPZZ2,,崖柏艺术馆,科教文化服务;美术馆;美术馆,永泰西路万福广场东南侧约30米,"113.825309,22.669420"
B0G35UWBPI,,ALILI ART阿哩哩艺术馆,科教文化服务;美术馆;美术馆,中山南街南头古城71号(逢周一闭馆),"113.920321,22.542877"
B0H1OCQK5M,,涂鸦堡美术馆(中粮校区),科教文化服务;美术馆;美术馆,马田街道中粮云景南区北门241,"113.888538,22.775913"
B0HK3DN2HD,,立文化艺术馆,科教文化服务;美术馆;美术馆,银塘路与长圳路交叉口东南20米,"113.923556,22.719202"
B0FFGYRBIB,,涂鸦堡创意美术馆(公明店),科教文化服务;美术馆;美术馆,公明办事处雍景城别墅路8-15号A-18铺,"113.907760,22.779278"
B0FFG8J4SO,B0FFI7KG1X,深圳旭生美术馆,科教文化服务;美术馆;美术馆,宝安大道4004号旭生大厦3楼,"113.864271,22.583414"
B0HUAH42CI,,米勒美术馆,科教文化服务;美术馆;美术馆,洲石路与宝石南路交叉口西约20米,"113.926497,22.669926"
B0FFH016UU,,名家艺术馆,科教文化服务;美术馆;美术馆,龙辉路8号附近,"113.902425,22.595546"
B0FFK2NLO5,,深圳市宝安区美术馆,科教文化服务;美术馆;美术馆,流塘路流塘阳光花园C座商铺二楼,"113.888611,22.581005"
B0FFGJ2WEU,,叶家斌艺术馆,科教文化服务;美术馆;美术馆|科教文化服务;展览馆;展览馆,文山路与莞长路交叉路口往南约50米(涌头市场),"113.823999,22.802894"
B0FFF4J4BV,B02F38KTKW,宝熙艺术馆(南天辉商厦店),购物服务;专卖店;珠宝首饰工艺品|购物服务;专卖店;古玩字画店|科教文化服务;美术馆;美术馆,南天辉商厦A107号商铺,"113.906942,22.557620"
B0FFHG6SE7,,萧邦钢琴艺术中心,科教文化服务;美术馆;美术馆,长安镇上洋路6号,"113.815670,22.806610"
B0GDJY3NJY,,莞茂乡情会所,科教文化服务;美术馆;美术馆,长安镇霄边358省道147号荣发汽修二楼,"113.811878,22.799480"
B0FFGBRU5P,,饶宗颐美术馆,科教文化服务;美术馆;美术馆,东门西路1号,"113.803581,22.810141"
