所属省,所属市,所属区(县),营业场所,地址,开办业务,邮政编码
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市三溪邮政所,三溪镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512228
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市老坪石邮政所,老坪石交通街,信件、印刷品、包裹、邮政汇兑、报刊订阅,512231
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市庆云邮政所,庆云镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512235
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市黄圃邮政所,黄圃镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512236
广东省,韶关市,乐昌市,中国邮政集团有限公司广东省乐昌市白石邮政所,白石镇政府所在地,信件、印刷品、包裹、邮政汇兑、报刊订阅,512237
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县龙南邮政所,广东省乳源县龙南邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512722
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县大布邮政所,广东省乳源县大布镇大布邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512723
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县古母水邮政所,广东省乳源县古母水邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512724
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县洛阳邮政所,广东省乳源县洛阳镇洛阳邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512725
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县五指山邮政所,乳源县五指山林场邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512727
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县大桥邮政所,乳源县大桥镇大桥邮政支局,信件、印刷品、包裹、邮政汇兑、报刊订阅,512729
广东省,韶关市,乳源瑶族自治县,中国邮政集团有限公司广东省乳源瑶族自治县必背邮政所,乳源县必背镇邮政所,信件、印刷品、包裹、邮政汇兑、报刊订阅,512732
广东省,河源市,东源县,中国邮政集团公司广东省东源县锡场代办所,广东省河源市东源县锡场镇大街街中心,信件、印刷品、包裹、邮政汇兑、报刊订阅,517532
广东省,河源市,和平县,中国邮政集团公司广东省和平县青州代办所,广东和平县青州镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,517252
广东省,河源市,和平县,中国邮政集团公司广东省和平县热水支局,广东和平县热水镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,517256
广东省,河源市,和平县,中国邮政集团公司广东省和平县浰源代办所,广东和平县俐源镇,信件、印刷品、包裹、邮政汇兑、报刊订阅,517258
广东省,梅州市,丰顺县,中国邮政集团有限公司广东省丰顺县龙岗支局,广东省梅州市丰顺县龙岗镇龙华路115号,信件、印刷品、包裹、邮政汇兑、报刊订阅,514349
广东省,梅州市,丰顺县,中国邮政集团有限公司广东省丰顺县潘田支局,广东省梅州市丰顺县潘田镇人民街2号,信件、印刷品、包裹、邮政汇兑、报刊订阅,514354
广东省,梅州市,丰顺县,中国邮政集团有限公司广东省丰顺县留隍支局,广东省梅州市丰顺县留隍镇公路边电信机楼,信件、印刷品、包裹、邮政汇兑、报刊订阅,514361
广东省,江门市,台山市,台山市川岛镇上川雷田邮政代办点,台山市川岛镇上川三洲圩光明路一号之一房,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,529264
广东省,江门市,台山市,台山市川岛镇下川邮福邮政代办点,台山市川岛镇下川略尾圩川中大道2号之二,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,529266
广东省,广州市,从化区,广州市从化区鳌头邮政支局,从化市鳌头镇前进路37号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,510940
广东省,广州市,从化区,广州市吕田邮政所,从化市吕田镇吕田广新路８号,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,510950
广东省,广州市,从化区,广州市从化区良口邮政局,从化市良口镇新城路35号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,510960
广东省,广州市,从化区,广州市温泉邮政所,广州市从化区温泉镇南溪路2号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,510970
广东省,广州市,从化区,广州市神岗邮政所,广州市从化区太平镇神岗荔溪二街8号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,510980
广东省,广州市,从化区,广州市从化区太平邮政支局,从化市太平开发区回归路1号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,510990
广东省,广州市,增城区,宁西街道邮政支局,增城永宁街宁西太新路90号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511358
广东省,广州市,增城区,广州市增城区三江邮政支局,石滩镇三江西区三街3号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511325
广东省,广州市,增城区,广州市增城区石滩邮政支局,增城市石滩镇红荔路28号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511330
广东省,广州市,增城区,广州市增城区中新邮政支局,中新镇风光路236号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511365
广东省,广州市,增城区,广州市增城区朱村邮政支局,增城市朱村街道朱村街平安路3-4号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511370
广东省,广州市,增城区,广州市增城区福和邮政支局,城市中新镇福和泮吓村坪中路边电信办公大楼第一层北面,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511375
广东省,广州市,增城区,广州市增城区派潭邮政支局,派潭镇群津街79号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511385
广东省,广州市,增城区,广州市增城区正果邮政支局,城市正果镇正果大道38号（电信综合楼）,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511390
广东省,广州市,增城区,广州市增城区小楼邮政支局,增城市小楼镇景园二街10号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,511396
广东省,珠海市,香洲区,珠海市北理工邮政代办所,珠海市唐家湾镇金鼎北京理工大学珠海学院学生公寓10栋1楼架空层,信件、印刷品、包裹、邮政汇兑、国际业务、报刊订阅,519088
广东省,汕头市,南澳县,南澳县云澳邮政所,广东南澳县云澳镇台湾街18号,信件、印刷品、包裹、邮政汇兑、报刊订阅,515910
广东省,汕头市,南澳县,南澳县深澳支局,广东南澳县深澳镇环城西路五号,信件、印刷品、包裹、邮政汇兑、报刊订阅,515920
广东省,汕头市,潮阳区,汕头市海门邮政支局,汕头市潮阳区海门镇莲花峰中路1号,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515132
广东省,汕头市,潮南区,中国邮政集团公司汕头市井都支局,汕头市潮南区井都镇政府斜对面,信件、印刷品、包裹、邮政汇兑、报刊订阅,515133
广东省,汕头市,潮南区,中国邮政集团公司汕头市田心邮政所,汕头市潮南区陇田镇中兴路田二村,信件、印刷品、包裹、邮政汇兑、报刊订阅,515134
广东省,汕头市,潮南区,中国邮政集团公司汕头市陇田支局,汕头市潮南区沙陇镇浩溪村车站边,信件、印刷品、包裹、邮政汇兑、报刊订阅,515135
广东省,汕头市,潮阳区,汕头市铜盂邮政支局,汕头市潮阳区铜盂镇铜盂居委后东4巷17号,信件、印刷品、包裹、邮政汇兑、港澳台业务、报刊订阅,515136
广东省,汕头市,潮南区,中国邮政集团公司汕头市雷岭支局,汕头市潮南区雷岭镇政府旁,信件、印刷品、包裹、邮政汇兑、报刊订阅,515137
广东省,汕头市,潮南区,中国邮政集团公司汕头市红场支局,汕头市潮南区红场镇政府前,信件、印刷品、包裹、邮政汇兑、报刊订阅,515138
广东省,汕头市,潮南区,中国邮政集团公司汕头市成田支局,成田镇田中村,信件、印刷品、包裹、邮政汇兑、报刊订阅,515139
广东省,汕头市,潮南区,中国邮政集团公司汕头市两英支局,汕头市潮南区两英镇墙新居委雷英北路,信件、印刷品、包裹、邮政汇兑、报刊订阅,515141
广东省,汕头市,潮南区,中国邮政集团公司汕头市仙城支局,仙城镇陈仙公路329号,信件、印刷品、包裹、邮政汇兑、报刊订阅,515143
广东省,汕头市,潮南区,中国邮政集团公司汕头市峡山支局,汕头市潮南区广汕公路281号,信件、印刷品、包裹、邮政汇兑、国际业务、港澳台业务、报刊订阅,515144
广东省,汕头市,潮南区,中国邮政集团公司汕头市胪岗支局,胪岗镇政府左侧,信件、印刷品、包裹、邮政汇兑、报刊订阅,515146
