citycode,city,countrycode,country,towncode,town,villagecode,villagetypecode,PAC,village
440100000000,广州市,440103000000,荔湾区,440103001000,沙面街道,440103001101,111,440103001101111,翠洲社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002101,111,440103002101111,扬仁东社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002102,111,440103002102111,扬仁西社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002103,111,440103002103111,故衣街社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002104,111,440103002104111,十三行社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002105,111,440103002105111,冼基社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002106,111,440103002106111,沙基社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002108,111,440103002108111,清平社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103002000,岭南街道,440103002109,111,440103002109111,和平社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003101,111,440103003101111,光复社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003102,111,440103003102111,德星社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003103,111,440103003103111,荔广社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003104,111,440103003104111,寺前社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003106,111,440103003106111,彩园社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003107,111,440103003107111,兴贤社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003108,111,440103003108111,曾巷社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003109,111,440103003109111,连登社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003111,111,440103003111111,怀远社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003112,111,440103003112111,福安社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003113,111,440103003113111,河傍社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103003000,华林街道,440103003114,111,440103003114111,湛露社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004101,111,440103004101111,恒宝社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004102,111,440103004102111,莲塘社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004103,111,440103004103111,泰华社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004105,111,440103004105111,丛桂社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004107,111,440103004107111,宝源社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004109,111,440103004109111,至宝社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004110,111,440103004110111,恩宁社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004111,111,440103004111111,谊园社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004112,111,440103004112111,天佑社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103004000,多宝街道,440103004113,111,440103004113111,御景社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005101,111,440103005101111,荔湖社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005102,111,440103005102111,如意坊社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005103,111,440103005103111,逢庆社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005104,111,440103005104111,昌华苑社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005106,111,440103005106111,西关大屋社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103005000,昌华街道,440103005107,111,440103005107111,泮塘社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006101,111,440103006101111,惠城社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006102,111,440103006102111,泰兴社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006103,111,440103006103111,源胜社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006104,111,440103006104111,华贵社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006105,111,440103006105111,何家祠社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006106,111,440103006106111,耀华社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006107,111,440103006107111,厚福社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006108,111,440103006108111,马基涌社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006109,111,440103006109111,隆城社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006110,111,440103006110111,富力东社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006111,111,440103006111111,富力西社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103006000,逢源街道,440103006114,111,440103006114111,逢源北社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007101,111,440103007101111,人民中社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007102,111,440103007102111,六甫社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007103,111,440103007103111,三元坊社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007104,111,440103007104111,龙津东社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007105,111,440103007105111,长寿社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007106,111,440103007106111,华福社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007107,111,440103007107111,洞神坊社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007108,111,440103007108111,洪寿社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007109,111,440103007109111,锦龙社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103007000,龙津街道,440103007111,111,440103007111111,龙翔社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008101,111,440103008101111,三甫社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008102,111,440103008102111,桃源社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008103,111,440103008103111,锦绣社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008104,111,440103008104111,和安社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008105,111,440103008105111,蟠虬社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008106,111,440103008106111,吉祥社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008107,111,440103008107111,隆庆社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008108,111,440103008108111,龙源社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008109,111,440103008109111,世纪社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008110,111,440103008110111,陈家祠社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008111,111,440103008111111,小梅社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103008000,金花街道,440103008112,111,440103008112111,林苑社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009101,111,440103009101111,荔溪社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009102,111,440103009102111,幸福社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009103,111,440103009103111,环彩社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009104,111,440103009104111,冼家庄社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009105,111,440103009105111,荔景社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009106,111,440103009106111,中兴社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009107,111,440103009107111,西园社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009108,111,440103009108111,周门社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009109,111,440103009109111,党恩社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009110,111,440103009110111,宝石社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103009000,彩虹街道,440103009111,111,440103009111111,园中园社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103010000,南源街道,440103010101,111,440103010101111,西场社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103010000,南源街道,440103010102,111,440103010102111,和平南社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103010000,南源街道,440103010103,111,440103010103111,南岸社区居民委员会
440100000000,广州市,440103000000,荔湾区,440103010000,南源街道,440103010104,111,440103010104111,风雨亭社区居民委员会
